pid,BQ1,BQ2,BQ3,BQ3_n2,BQ4,BQ8,BQ5,BQ5_1,BQ5_2,BQ5_3,BQ6,BQ7,BQ7_1,BQ7_2,BQ9,BQ12_1,BQ12_2,BQ12_3,BQ13,BQ14,BQ14_1,BQ15_1,BQ15_2,BQ15_3,BQ15_4,BQ16_1,BQ16_2,BQ16_3,BQ16_4
289826,세종,여자,38,만30세~만39세,고등학교 졸업,불교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,이혼,있다,없다,있다,3명,100만원 이상 200만원 미만,5천만원 미만,중하층,5 중도,모르겠다,모르겠다,모르겠다,5만원으로 늘림,모르겠다,모르겠다,2.5,2.5,2.5,2.5
290155,경기,여자,42,만40세~만49세,대학 졸업,개신교,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 없는 자영업자,NA,NA,배우자 있음,있다,없다,있다,3명,400만원 이상 500만원 미만,5천만원 미만,중하층,3,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
292072,경남,남자,58,만50세~만59세,고등학교 졸업,불교,"판매/영업/서비스직(상점 점원, 세일즈맨 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,5천만원 미만,중하층,4,지지하는 정당이 없음,더불어민주당,모르겠다,1만원 그대로,모르겠다,1만원 그대로,3,3,3,2
292125,경남,여자,73,만60세 이상,대학 졸업,천주교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,4억원~7억원 미만,중간층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,모르겠다,1만원 그대로,2,1,2,2
292244,경기,여자,62,만60세 이상,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,200만원 이상 300만원 미만,3억원~4억원 미만,중하층,5 중도,미래통합당,NA,1만원 그대로,1만원 그대로,모르겠다,1만원 그대로,3,3,3,2
292310,경남,여자,59,만50세~만59세,대학 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,3억원~4억원 미만,중간층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
292713,전남,남자,66,만60세 이상,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),정규직,배우자 있음,있다,없다,없다,3명,400만원 이상 500만원 미만,3억원~4억원 미만,중하층,0 매우 진보,정의당,NA,5만원으로 늘림,5만원으로 늘림,5만원으로 늘림,1만원 그대로,2,2,2,1
293310,서울,남자,39,만30세~만39세,대학원 재학 중,불교,"전문직(의사, 법조인, 교수, 언론인 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,3명,200만원 이상 300만원 미만,5천만원 미만,최하층,8,미래통합당,NA,모르겠다,모르겠다,모르겠다,모르겠다,4,4,3,3
293629,제주,여자,53,만50세~만59세,대학원 졸업,개신교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,이혼,있다,없다,없다,혼자 살고 있다,100만원 미만,5천만원 미만,최하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
294129,서울,여자,63,만60세 이상,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,300만원 이상 400만원 미만,10억원 이상,중상층,8,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
294564,인천,남자,50,만50세~만59세,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,미혼,없다,NA,NA,혼자 살고 있다,100만원 미만,5천만원~1억원 미만,최하층,6,미래통합당,NA,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,1,1,2,2
295056,경기,여자,51,만50세~만59세,대학 졸업,불교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,1천만원 이상 1천 5백만원 미만,10억원 이상,중간층,3,더불어민주당,NA,1만원 그대로,1만원 그대로,5만원으로 늘림,1만원 그대로,2,3,3,2
297533,인천,여자,37,만30세~만39세,고등학교 졸업,다른 종교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,있다,있다,3명,200만원 이상 300만원 미만,1억원~2억원 미만,중하층,5 중도,더불어민주당,NA,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,4,3,3,3
299278,경기,여자,39,만30세~만39세,대학원 졸업,천주교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,500만원 이상 600만원 미만,4억원~7억원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,2,3,4
300104,강원,여자,45,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,500만원 이상 600만원 미만,5천만원~1억원 미만,중간층,5 중도,정의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,3
301977,경기,여자,44,만40세~만49세,대학 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,있다,5명 이상,1천만원 이상 1천 5백만원 미만,4억원~7억원 미만,중상층,1,더불어민주당,NA,1만원 그대로,1만원 그대로,모르겠다,5만원으로 늘림,2,2,3,2
302295,서울,남자,28,만18세~만29세,대학 재학 중,개신교,학생 (일하지 않고 학업 중),NA,NA,NA,미혼,없다,NA,NA,4명,200만원 이상 300만원 미만,5천만원 미만,최하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
302308,경기,여자,60,만60세 이상,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,5천만원~1억원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,5천원으로 줄임,5천원으로 줄임,1만원 그대로,1만원 그대로,3,2,2.5,2
302830,서울,여자,23,만18세~만29세,대학 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,5명 이상,500만원 이상 600만원 미만,7억원~10억원 미만,중간층,모르겠다,모르겠다,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2.5,2,2.5,2
303119,충남,여자,65,만60세 이상,대학 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,있다,없다,4명,300만원 이상 400만원 미만,4억원~7억원 미만,중하층,5 중도,지지하는 정당이 없음,국민의당,1만원 그대로,1만원 그대로,5만원으로 늘림,1만원 그대로,2,3,2,3
303873,경기,여자,27,만18세~만29세,대학 졸업,다른 종교,"전문직(의사, 법조인, 교수, 언론인 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,없다,NA,NA,2명,200만원 이상 300만원 미만,5천만원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,5만원으로 늘림,1만원 그대로,모르겠다,모르겠다,2,2.5,2,3
304198,대전,여자,26,만18세~만29세,대학원 재학 중,개신교,학생 (일하지 않고 학업 중),NA,NA,NA,미혼,없다,NA,NA,5명 이상,700만원 이상 1천만원 미만,5천만원~1억원 미만,중간층,4,지지하는 정당이 없음,지지하는 정당이 없음,5만원으로 늘림,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
305100,경북,남자,42,만40세~만49세,대학원 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,500만원 이상 600만원 미만,5천만원 미만,중간층,3,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,2,3
305389,서울,남자,45,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,없다,NA,NA,2명,600만원 이상 700만원 미만,5천만원 미만,중간층,5 중도,더불어민주당,NA,모르겠다,모르겠다,모르겠다,모르겠다,2.5,2.5,2.5,2.5
305639,서울,여자,81,만60세 이상,고등학교 졸업,불교,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 있는 자영업자,NA,NA,배우자 있음,있다,없다,있다,3명,400만원 이상 500만원 미만,3억원~4억원 미만,중하층,7,미래통합당,NA,5만원으로 늘림,1만원 그대로,1만원 그대로,1만원 그대로,3,3,2,3
306606,서울,남자,62,만60세 이상,고등학교 졸업,믿는 종교가 없다,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 없는 자영업자,NA,NA,이혼,있다,없다,없다,혼자 살고 있다,100만원 미만,5천만원 미만,최하층,6,지지하는 정당이 없음,모르겠다,모르겠다,모르겠다,모르겠다,모르겠다,2,2,2,2
308563,경기,남자,48,만40세~만49세,대학 졸업,믿는 종교가 없다,"경영 관리직(5급 이상 공무원, 기업체 부장 이상 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,1천만원 이상 1천 5백만원 미만,7억원~10억원 미만,중상층,5 중도,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,2,2,3
310249,경북,여자,64,만60세 이상,대학 졸업,천주교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,4억원~7억원 미만,중하층,7,미래통합당,NA,5천원으로 줄임,모르겠다,모르겠다,5천원으로 줄임,2,2,2,2
311128,서울,여자,62,만60세 이상,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,200만원 이상 300만원 미만,3억원~4억원 미만,중하층,5 중도,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,4,3,1,2
311190,충북,남자,41,만40세~만49세,대학 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",고용원이 없는 자영업자,NA,NA,미혼,없다,NA,NA,3명,100만원 미만,4억원~7억원 미만,중하층,4,더불어시민당,NA,1만원 그대로,1만원 그대로,1만원 그대로,5만원으로 늘림,2,2,3,3
317443,경기,남자,54,만50세~만59세,고등학교 졸업,믿는 종교가 없다,다른 직업,임금근로자,일용근로자 (계약기간 1개월 미만),비정규직,배우자 있음,있다,없다,있다,4명,300만원 이상 400만원 미만,2억원~3억원 미만,중하층,3,더불어민주당,NA,1만원 그대로,5천원으로 줄임,모르겠다,1만원 그대로,2,2,2,2
317669,서울,남자,61,만60세 이상,대학 졸업,개신교,다른 직업,임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,3명,400만원 이상 500만원 미만,1억원~2억원 미만,최하층,7,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
317965,경북,남자,60,만60세 이상,대학 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,배우자 있음,있다,없다,없다,3명,500만원 이상 600만원 미만,3억원~4억원 미만,중상층,8,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,5천원으로 줄임,5만원으로 늘림,1만원 그대로,2,3,2,3
320304,전북,여자,37,만30세~만39세,대학 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),비정규직,배우자 있음,있다,있다,있다,4명,500만원 이상 600만원 미만,5천만원~1억원 미만,중간층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
321409,경남,남자,32,만30세~만39세,대학 졸업,불교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,혼자 살고 있다,200만원 이상 300만원 미만,5천만원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2,2,2,2
321873,경기,여자,62,만60세 이상,고등학교 졸업,불교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,4명,300만원 이상 400만원 미만,3억원~4억원 미만,중하층,5 중도,미래통합당,NA,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,3,2,2,2
321932,인천,여자,65,만60세 이상,고등학교 졸업,천주교,"판매/영업/서비스직(상점 점원, 세일즈맨 등)",임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,이혼,있다,없다,없다,혼자 살고 있다,100만원 이상 200만원 미만,5천만원 미만,최하층,5 중도,미래통합당,NA,1만원 그대로,5천원으로 줄임,모르겠다,1만원 그대로,2,3,2,2
321985,서울,여자,39,만30세~만39세,고등학교 졸업,믿는 종교가 없다,다른 직업,임금근로자,상용근로자 (계약기간 1년 이상),정규직,이혼,있다,없다,있다,3명,400만원 이상 500만원 미만,1억원~2억원 미만,중하층,4,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
322232,경기,여자,47,만40세~만49세,대학 졸업,불교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,있다,4명,400만원 이상 500만원 미만,5천만원~1억원 미만,중하층,10 매우 보수,미래한국당,NA,1만원 그대로,모르겠다,모르겠다,모르겠다,2,3,2,2
322846,서울,남자,66,만60세 이상,고등학교 졸업,불교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,4명,700만원 이상 1천만원 미만,7억원~10억원 미만,중하층,7,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
322985,경기,여자,35,만30세~만39세,대학 졸업,믿는 종교가 없다,"전문직(의사, 법조인, 교수, 언론인 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,있다,없다,3명,600만원 이상 700만원 미만,1억원~2억원 미만,중하층,5 중도,지지하는 정당이 없음,더불어민주당,모르겠다,모르겠다,모르겠다,모르겠다,2,2,2,2
323225,부산,남자,44,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 없는 자영업자,NA,NA,미혼,없다,NA,NA,2명,100만원 이상 200만원 미만,5천만원 미만,중간층,5 중도,더불어민주당,NA,5만원으로 늘림,1만원 그대로,5만원으로 늘림,5만원으로 늘림,2,3,2,2
323299,경기,남자,47,만40세~만49세,고등학교 졸업,불교,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 없는 자영업자,NA,NA,미혼,없다,NA,NA,혼자 살고 있다,200만원 이상 300만원 미만,5천만원 미만,중하층,3,정의당,NA,1만원 그대로,5천원으로 줄임,5만원으로 늘림,1만원 그대로,2,2,2,1
323613,인천,여자,54,만50세~만59세,중학교 졸업 이하,개신교,다른 직업,임금근로자,상용근로자 (계약기간 1년 이상),비정규직,배우자 있음,있다,없다,없다,4명,400만원 이상 500만원 미만,5천만원 미만,중하층,2,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,1,2,2
323665,전북,여자,43,만40세~만49세,대학 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,있다,4명,300만원 이상 400만원 미만,5천만원 미만,중간층,5 중도,모르겠다,모르겠다,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,2,3
323759,전북,남자,62,만60세 이상,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,배우자 있음,있다,없다,없다,2명,100만원 이상 200만원 미만,5천만원~1억원 미만,최하층,2,더불어민주당,NA,5만원으로 늘림,5만원으로 늘림,5만원으로 늘림,5만원으로 늘림,3,2,2,2
326235,부산,남자,43,만40세~만49세,대학원 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,있다,있다,4명,1천 5백만원 이상 2천만원 미만,10억원 이상,중간층,6,미래통합당,NA,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,4,4,3,3
326383,경북,남자,48,만40세~만49세,고등학교 졸업,불교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,이혼,없다,NA,NA,혼자 살고 있다,600만원 이상 700만원 미만,1억원~2억원 미만,최하층,3,정의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,3,2
326419,서울,남자,47,만40세~만49세,대학 졸업,천주교,"경영 관리직(5급 이상 공무원, 기업체 부장 이상 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,없다,NA,NA,2명,500만원 이상 600만원 미만,10억원 이상,중간층,8,미래통합당,NA,1만원 그대로,1만원 그대로,5만원으로 늘림,1만원 그대로,3,3,2,2
327138,경남,남자,62,만60세 이상,고등학교 졸업,천주교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,3억원~4억원 미만,중간층,7,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2,2,3,2
327161,서울,남자,39,만30세~만39세,대학 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,2명,700만원 이상 1천만원 미만,3억원~4억원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,4,2,4
327515,서울,남자,47,만40세~만49세,대학원 졸업,천주교,"경영 관리직(5급 이상 공무원, 기업체 부장 이상 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,1천 5백만원 이상 2천만원 미만,10억원 이상,중간층,모르겠다,지지하는 정당이 없음,미래통합당,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,1,2
327950,서울,남자,78,만60세 이상,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,3명,100만원 이상 200만원 미만,2억원~3억원 미만,중하층,3,지지하는 정당이 없음,미래통합당,모르겠다,모르겠다,모르겠다,모르겠다,4,3,3,3
328108,충남,남자,55,만50세~만59세,대학원 졸업,믿는 종교가 없다,"전문직(의사, 법조인, 교수, 언론인 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,400만원 이상 500만원 미만,1억원~2억원 미만,중간층,6,미래통합당,NA,모르겠다,모르겠다,모르겠다,모르겠다,4,4,3,4
328421,경기,여자,48,만40세~만49세,고등학교 졸업,불교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,400만원 이상 500만원 미만,5천만원~1억원 미만,중간층,5 중도,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,1,3,1
329008,경기,남자,70,만60세 이상,고등학교 졸업,천주교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,100만원 이상 200만원 미만,3억원~4억원 미만,중하층,4,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,3
330377,충남,남자,47,만40세~만49세,대학 졸업,개신교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,혼자 살고 있다,200만원 이상 300만원 미만,5천만원 미만,중하층,5 중도,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,3
330575,전북,남자,72,만60세 이상,대학원 졸업,개신교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,사별,있다,없다,없다,혼자 살고 있다,300만원 이상 400만원 미만,2억원~3억원 미만,중하층,2,더불어민주당,NA,1만원 그대로,1만원 그대로,5만원으로 늘림,5만원으로 늘림,4,3,3,2
331133,서울,여자,39,만30세~만39세,고등학교 졸업,개신교,다른 직업,무급가족종사자,NA,NA,배우자 있음,있다,없다,있다,2명,100만원 미만,5천만원 미만,모르겠다,7,더불어민주당,NA,5만원으로 늘림,5천원으로 줄임,1만원 그대로,1만원 그대로,4,3,4,3
331900,경북,여자,57,만50세~만59세,고등학교 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,2명,300만원 이상 400만원 미만,2억원~3억원 미만,중하층,6,지지하는 정당이 없음,모르겠다,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
332270,경기,남자,57,만50세~만59세,고등학교 졸업,개신교,"경영 관리직(5급 이상 공무원, 기업체 부장 이상 등)",임금근로자,상용근로자 (계약기간 1년 이상),비정규직,이혼,없다,NA,NA,혼자 살고 있다,400만원 이상 500만원 미만,5천만원 미만,최하층,6,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,모르겠다,모르겠다,3,3,2,2
332638,광주,여자,64,만60세 이상,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,혼자 살고 있다,100만원 미만,5천만원 미만,모르겠다,5 중도,더불어민주당,NA,모르겠다,1만원 그대로,모르겠다,모르겠다,2,2.5,3,2
332802,경기,남자,60,만60세 이상,중학교 졸업 이하,믿는 종교가 없다,"판매/영업/서비스직(상점 점원, 세일즈맨 등)",임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,배우자 있음,있다,없다,없다,3명,200만원 이상 300만원 미만,5천만원 미만,최하층,5 중도,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
332869,충북,남자,60,만60세 이상,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,3명,300만원 이상 400만원 미만,2억원~3억원 미만,중하층,8,지지하는 정당이 없음,미래통합당,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
334783,인천,여자,42,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,미혼,없다,NA,NA,혼자 살고 있다,100만원 미만,5천만원 미만,최하층,5 중도,더불어민주당,NA,1만원 그대로,5천원으로 줄임,5천원으로 줄임,1만원 그대로,3,3,3,2
335367,경기,여자,30,만30세~만39세,대학 졸업,천주교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,없다,NA,NA,2명,300만원 이상 400만원 미만,5천만원 미만,중하층,2,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
335428,경남,여자,28,만18세~만29세,대학 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,4명,600만원 이상 700만원 미만,5천만원~1억원 미만,중간층,2,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,3,2
335531,대구,여자,26,만18세~만29세,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,미혼,없다,NA,NA,4명,500만원 이상 600만원 미만,5천만원 미만,최하층,5 중도,지지하는 정당이 없음,더불어민주당,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2,2,2,1
335756,경기,여자,43,만40세~만49세,고등학교 졸업,개신교,다른 직업,임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,400만원 이상 500만원 미만,5천만원 미만,중하층,1,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,3,3
337121,인천,남자,27,만18세~만29세,고등학교 졸업,개신교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,일용근로자 (계약기간 1개월 미만),비정규직,미혼,없다,NA,NA,4명,100만원 이상 200만원 미만,5천만원 미만,최하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2,2.5,2,2
338567,경기,남자,64,만60세 이상,고등학교 졸업,믿는 종교가 없다,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 없는 자영업자,NA,NA,미혼,없다,NA,NA,2명,100만원 이상 200만원 미만,5천만원~1억원 미만,중하층,5 중도,더불어민주당,NA,1만원 그대로,1만원 그대로,5만원으로 늘림,1만원 그대로,2,2,2,3
338594,경기,남자,66,만60세 이상,고등학교 졸업,불교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,4억원~7억원 미만,중하층,9,미래통합당,NA,5천원으로 줄임,1만원 그대로,1만원 그대로,1만원 그대로,4,4,3,2
340802,전남,남자,67,만60세 이상,고등학교 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,배우자 있음,있다,없다,없다,2명,500만원 이상 600만원 미만,4억원~7억원 미만,중간층,6,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
